commit	percent_correct	memory_gb	status	description
c024d7c	25.6400	5.1	keep	baseline: ternary weights now correctly enforced (reroll always on), CIFAR100 ConvNet 1.9M params
70093e2	32.3200	5.1	keep	Exp1: momentum 0.99->0.9 — much more responsive grad smoothing, +6.68%
b7723c4	29.6700	5.1	discard	Exp2: momentum 0.8 — too responsive, 0.9 was the sweet spot
f93d78a	36.4400	5.1	keep	Exp3: lr 4e-3->8e-3 — double flips per step, +4.12%
ef30248	37.1100	5.1	keep	Exp4: lr 8e-3->1.6e-2 — +0.67%, trend continues
94b7582	37.4300	5.1	keep	Exp5: lr 1.6e-2->3.2e-2 — +0.32%, diminishing returns
acd7b8a	34.2500	5.1	discard	Exp6: lr 6.4e-2 — too high, ceiling around 3.2e-2
a201120	39.6500	5.1	keep	Exp7: min_prob 0.0->1e-3 — random non-top-k flips give +2.22% exploration boost
84f4c82	12.8200	5.1	discard	Exp8: min_prob 1e-2 — too noisy, destroys learning
a891568	34.0300	5.1	discard	Exp9: min_prob 3e-3 — too much, 1e-3 was sweet spot
9c3e114	37.2700	2.6	discard	Exp10: batch 1024->512 — too noisy gradients hurt
d2456fa	38.5800	10.2	discard	Exp11: batch 2048 — slightly worse, 1024 is the sweet spot
2db0003	34.7900	5.1	discard	Exp12: GELU instead of LeakyReLU(0.4) — too smooth, ternary needs sharper signal
fc8d895	34.1600	5.1	discard	Exp13: data aug RandomCrop+HFlip — ternary can't adapt to variance in 5min
ae60f1f	38.1900	5.1	discard	Exp14: label_smoothing=0.1 — softer targets hurt slightly
37b5890	24.4200	4.6	discard	Exp15: Tanh activation — saturates with BN+ternary, much worse on CIFAR
5d055f6	41.7300	5.1	keep	Exp16: momentum 0.9->0.95 — sweet spot tighter, +2.08%
87fd01e	42.7600	5.1	keep	Exp17: momentum 0.95->0.97 — +1.03%, trend continues
11c5b65	35.2700	5.1	discard	Exp18: momentum 0.99 — too smooth, loses gradient signal
9ec78c4	42.7100	5.1	discard	Exp19: momentum 0.98 — tied with 0.97 (~noise), 0.97 simpler
84f6e46	43.2800	5.1	keep	Exp20: lr 3.2e-2->6.4e-2 with mom 0.97 — +0.52%, smoother mom tolerates higher LR
9e2f8d7	42.1000	5.1	discard	Exp21: lr 1.28e-1 — too high, 6.4e-2 was the new sweet spot
70baff6	38.7200	5.1	discard	Exp22: min_prob 3e-3 with high lr — too noisy, 1e-3 still optimal
d300a38	42.5900	5.1	discard	Exp23: FC head 256->384 (+400K params) — slightly worse
195a959	42.3400	5.1	discard	Exp24: bias=False on convs+linears — slight loss, biases were doing some work
c4a4d77	39.7800	5.1	discard	Exp25: remove 4x4 conv — was important, lose lots of accuracy
044dfb7	40.9200	5.1	discard	Exp26: remove TTA at test — TTA gave ~2.36% boost, keep it
96c68f3	42.4200	6.4	discard	Exp27: stage-1 48->64ch — slightly worse, more VRAM
5ff99e9	42.4500	5.1	discard	Exp28: stage-3 widen 128->144ch — slightly worse, no win
cdf61b2	41.8200	5.1	discard	Exp29: cosine LR 6.4e-2->6.4e-3 — schedule didn't help, constant LR better
16af122	44.0000	5.1	keep	Exp30: sparse init randn*0.5 — +0.72%, ~68% zeros at init lets optimizer build weights
8443752	40.3400	5.1	discard	Exp31: init *0.3 — too sparse (~90% zeros), 5min not enough to recover
261bbe4	44.4800	5.1	keep	Exp32: init *0.7 — +0.48%, sweet spot between 0.5 and 1.0
1365bb4	38.3400	5.1	discard	Exp33: init *0.8 — much worse than 0.7, variance high
d50fb99	43.5400	5.1	discard	Exp34: lr 8e-2 — slightly worse than 6.4e-2 with sparse init
ee6c091	41.6500	5.1	discard	Exp35: Dropout(0.1) before FC — hurts, ternary weights are already regularized
ff9b206	44.4400	5.1	keep	Exp36: zero-init momentum_buf — tied with prev best (44.48), simpler code
c7106ed	37.9600	5.1	discard	Exp37: data aug retest with sparse init — still hurts, ternary+5min can't adapt to variance
a965ce5	41.3000	5.1	discard	Exp38: LeakyReLU 0.3 — worse with current settings, 0.4 is right
634542c	43.5100	5.1	discard	Exp39: FC 2560->384->256->100 (wider first) — slightly worse
ac8e87b	42.6000	5.1	discard	Exp40: train HFlip only — still hurts, ternary doesn't tolerate train aug
e182d12	42.1600	5.1	discard	Exp41: min_prob 5e-4 — too low, 1e-3 is the sweet spot
e412e00	43.2700	4.6	discard	Exp42: stage 1 with 2 convs (was 3) — too little, hurts
08e7554	43.1000	5.1	discard	Exp43: 4x4 conv 160->192 — more capacity didn't help
d1a752f	41.1800	5.5	discard	Exp44: stage 2 128->144ch — worse, more VRAM
9c2d0f1	41.2900	5.1	discard	Exp45: BN track_running_stats=False — running stats actually help at test
62ba95f	41.2700	5.1	discard	Exp46: BN momentum 0.5 — too fast running stats updates, hurts
cddfa37	13.8500	5.1	discard	Exp47: BN affine=True — ternary gamma kills random channels, breaks training
afc6b22	42.4000	5.1	discard	Exp48: lr 4.5e-2 — slightly worse, 6.4e-2 still optimal
d5cc95d	44.1500	5.1	discard	Exp49: 4-pass TTA — tied with 2-pass, simpler is better
5f67aa2	41.3400	5.1	discard	Exp50: stage 3 with 2 convs (was 3) — needed depth, hurts
520e826	43.2600	5.1	discard	Exp51: gradient noise injection (1% std) — within noise, discard
6ed2b57	42.0100	5.1	discard	Exp52: 5x5 first conv — wider RF at start hurts
4fc88c0	41.6400	5.1	discard	Exp53: momentum 0.96 — within noise but slightly worse, 0.97 holds
2621ffd	41.8300	5.1	discard	Exp54: mom 0.95 with sparse init *0.7 — still worse than 0.97
c69a1c3	40.0300	5.1	discard	Exp55: AvgPool at last reduction — much worse than MaxPool
ea7c25e	38.8500	5.1	discard	Exp56: deeper FC head 256->256->384->100 — too many params for budget
d0d8741	40.5900	5.1	discard	Exp57: gradient_clip_val=1.0 — clipping hurts ternary EMA buffer
d272ccf	46.3900	5.9	discard	Exp74: 4-pass TTA zero-padded shifts — within noise, simpler 2-pass kept
cbc31c6	41.9600	4.7	keep	Baseline mar24: torch.compile + 16-mixed + single GPU batch=2048 + 2-pass TTA
7895f5f	48.8400	2.4	keep	Exp76: batch 2048->1024 — sweet spot, +6.88% over current baseline
35d6437	47.2900	1.3	discard	Exp77: batch 512 — too small, 1024 still better
aac77ad	49.4800	2.4	keep	Exp78: lr 6.4e-2->9.0e-2 — +0.64%, higher LR works with batch=1024
125e5ff	47.7500	2.4	discard	Exp79: lr 1.28e-1 — too high, optimum between 9e-2 and 1.28e-1
52a8e92	49.9900	2.4	keep	Exp80: lr 9e-2->1.05e-1 — +0.51%, sweet spot between 9e-2 and 1.28e-1
e2e0826	49.2000	2.4	discard	Exp81: lr 1.15e-1 — slightly worse, 1.05e-1 sweet spot
f9bf99c	48.5700	2.4	discard	Exp82: momentum 0.98 — too smooth with high LR
6ca50af	48.7900	2.4	discard	Exp83: min_prob 2e-3 — too noisy, 1e-3 still best
c90370c	50.8400	2.4	keep	Exp84: train-time HFlip aug — works now with faster steps, +0.85%
0033b14	47.3300	2.4	discard	Exp85: HFlip+RandomCrop(pad=4) — too much aug for ternary, HFlip-only better
d1dfb26	48.1200	2.4	discard	Exp86: HFlip+RandomCrop(pad=2) — even gentle crop hurts ternary
ee1186c	50.4800	2.4	discard	Exp87: lr 1.28e-1 with HFlip — slightly worse, 1.05e-1 still optimal
46e2a75	52.4500	2.4	keep	Exp88: lr 1.05e-1->9e-2 with HFlip — +1.61%, aug shifted optimum lower
ecf9b7c	52.2700	2.4	discard	Exp89: lr 7e-2 — within noise, 9e-2 holds
8d81e71	51.3300	2.4	discard	Exp90: momentum 0.95 with HFlip — too responsive, 0.97 better
423047d	51.1200	2.4	discard	Exp91: init *0.5 with HFlip — too sparse, 0.7 holds
aec8a04	50.4100	2.4	discard	Exp92: LeakyReLU 0.3 with HFlip — 0.4 still better
